"","Tranche2CDSValue_0.0005","Tranche2CDSValue_0.0008","Tranche2CDSValue_0.0012","Tranche2CDSValue_0.0016","Tranche2CDSValue_0.0028","Date"
"199",1083113.85256558,-196206.167038218,-1901966.19317661,-3607726.21931501,-8725006.2977302,2005-10-26
"200",985894.727730004,-276219.668755154,-1959038.8640687,-3641858.05938224,-8690315.64532287,2005-10-27
"201",896138.872561776,-356352.323237094,-2026340.58430225,-3696328.84536741,-8706293.62856289,2005-10-28
"202",839825.908575149,-406659.331896412,-2068639.65252516,-3730619.97315391,-8716560.93504015,2005-10-31
"203",758902.410136354,-486446.572840534,-2146911.88347638,-3807377.19411224,-8788773.12601979,2005-11-01
"204",736484.001336643,-495333.745547204,-2137757.408059,-3780181.0705708,-8707452.05810619,2005-11-02
"205",726908.652634568,-497936.012170969,-2131062.23191168,-3764188.4516524,-8663567.11087455,2005-11-03
"206",753965.527560785,-476955.745330833,-2118184.10918632,-3759412.47304182,-8683097.56460829,2005-11-04
"207",791092.524800138,-452844.772666915,-2111427.83595632,-3770010.89924572,-8745760.08911393,2005-11-07
"208",832471.001958949,-411507.637533676,-2070145.82352384,-3728784.00951401,-8704698.56748451,2005-11-08
"209",890251.178039853,-364856.021531842,-2038332.28762743,-3711808.55372303,-8732237.35200981,2005-11-09
"210",896571.356212548,-357373.547382174,-2029300.08550847,-3701226.62363477,-8717006.23801365,2005-11-10
"211",933417.959219059,-323946.706288411,-2000432.92696504,-3676919.14764166,-8706377.80967154,2005-11-14
"212",954862.99253033,-290712.300177748,-1951479.35712185,-3612246.41406596,-8594547.58489827,2005-11-15
"213",968893.93303825,-275475.087060992,-1934633.78052665,-3593792.4739923,-8571268.55438927,2005-11-16
"214",973709.582945693,-260260.170469135,-1905553.17502224,-3550846.17957534,-8486725.19323465,2005-11-17
"215",1030404.79841168,-209613.308458776,-1862970.78428606,-3516328.26011334,-8476400.68759518,2005-11-18
"216",1076258.30935732,-174748.705652509,-1842758.05899894,-3510767.41234538,-8514795.47238468,2005-11-21
"217",1124759.9190494,-124088.847120785,-1789220.5353477,-3454352.22357461,-8449747.28825535,2005-11-22
"218",1169891.08676912,-84567.4651294586,-1757178.8676609,-3429790.27019235,-8447624.47778668,2005-11-23
"219",1191699.85491927,-60649.6068747048,-1730448.88926667,-3400248.17165864,-8409646.01883455,2005-11-24
"220",1220059.28099221,-26489.6136598907,-1688554.80652936,-3350619.99939883,-8336815.57800725,2005-11-25
"221",1301439.88179942,63357.9797641352,-1587417.88961624,-3238193.75899662,-8190521.36713776,2005-11-28
"222",1351527.95266141,114423.655155366,-1535048.74151935,-3184521.13819408,-8132938.32821824,2005-11-29
"223",1459295.48508,220998.13227999,-1430065.00478668,-3081128.14185336,-8034317.55305338,2005-11-30
"224",1547560.97006978,288357.895146785,-1390579.53808387,-3069516.97131453,-8106329.27100651,2005-12-01
"225",1610809.47220459,352225.408493776,-1325886.67645397,-3003998.76140172,-8038335.01624497,2005-12-02
"226",1603082.75462639,346457.810231011,-1329042.1156295,-3004542.04149001,-8031041.81907153,2005-12-05
"227",1613136.86617268,357235.676551423,-1317299.24294358,-2991834.16243859,-8015438.92092361,2005-12-06
"228",1590903.64521931,337733.470290372,-1333160.09628154,-3004053.66285345,-8016734.36256918,2005-12-07
"229",1604972.1106828,368251.628691455,-1280709.01396367,-2929669.65661879,-7876551.58458416,2005-12-08
"230",1615992.61943662,378014.003655955,-1272624.15071826,-2923262.30509248,-7875176.76821514,2005-12-09
"231",1651872.89354737,418010.525241067,-1227139.29916733,-2872289.12357573,-7807738.59680093,2005-12-12
"232",1698513.03722401,464657.217313079,-1180483.87590149,-2825624.96911606,-7761048.24875978,2005-12-13
"233",1754800.89420241,527518.662808907,-1108857.64571576,-2745233.95424043,-7654362.87981444,2005-12-14
"234",1797932.15711132,575052.028998289,-1055454.80848575,-2685961.64596979,-7577482.1584219,2005-12-15
"235",1879399.62313614,657466.651834927,-971777.309900026,-2601021.27163498,-7488753.15683984,2005-12-16
"236",1923933.99534232,703703.63388986,-923270.181380087,-2550243.99665004,-7431165.44245988,2005-12-19
"237",2021862.30982634,769907.18233893,-899366.320977615,-2568639.82429416,-7576460.33424379,2005-12-20
"238",2050645.43215838,773113.42914013,-930262.5748842,-2633638.57890853,-7743766.59098152,2005-12-21
"239",2070930.83022066,776017.311496748,-950534.046801805,-2677085.40510036,-7856739.47999602,2005-12-22
"240",2064999.6414937,771635.909674082,-952849.066085404,-2677334.04184489,-7850788.96912335,2005-12-23
"241",2078185.32059443,786027.127784404,-936850.46262896,-2659728.05304233,-7828360.82428242,2005-12-28
"242",2045783.15085897,781169.204537742,-904982.72389056,-2591134.65231886,-7649590.43760377,2005-12-29
"243",2037960.35144258,797194.061259519,-857160.992317893,-2511516.0458953,-7474581.20662754,2005-12-30
"244",2014123.82947929,789481.258319198,-843375.503227589,-2476232.26477438,-7374802.54941474,2006-01-03
"245",1971483.10631774,746076.003899771,-887800.132657517,-2521676.2692148,-7423304.67888667,2006-01-04
"246",1886076.07525978,664432.262020729,-964426.155631346,-2593284.57328342,-7479859.82623965,2006-01-05
"247",1780187.67642789,554381.707043752,-1080026.2521351,-2714434.21131395,-7617658.08885051,2006-01-06
"248",1655397.22154891,431849.034065214,-1199548.54924638,-2830946.13255797,-7725138.88249274,2006-01-09
"249",1544406.03584408,319434.622451815,-1313860.59540454,-2947155.8132609,-7847041.46682998,2006-01-10
"250",1404222.38081675,179876.199694631,-1452585.37513486,-3085046.94996435,-7982431.67445283,2006-01-11
"251",1291077.68980241,60682.8967388952,-1579843.49401246,-3220369.88476382,-8141949.05701789,2006-01-12
"252",1143500.38387193,-84218.4050845994,-1721176.79035997,-3358135.17563534,-8269010.33146144,2006-01-13
"253",994394.888289538,-233323.900666988,-1870282.28594236,-3507240.67121773,-8418115.82704383,2006-01-16
"254",863124.814593271,-362375.147689856,-1996375.09740069,-3630375.04711153,-8532374.89624404,2006-01-17
